SIC Code,SIC Code Grouping,Merchant Type,SIC Code Group Type,Presentation
2535,0,,Other,Other
2536,0,,Other,Other
2537,0,,Other,Other
2538,0,,Other,Other
2539,0,,Other,Other
2540,0,,Other,Other
2541,0,,Other,Other
2542,0,,Other,Other
2543,0,,Other,Other
2544,0,,Other,Other
2545,0,,Other,Other
2546,0,,Other,Other
2547,0,,Other,Other
2548,0,,Other,Other
2549,0,,Other,Other
2550,0,,Other,Other
2551,0,,Other,Other
2552,0,,Other,Other
2553,0,,Other,Other
2554,0,,Other,Other
2555,0,,Other,Other
2556,0,,Other,Other
2557,0,,Other,Other
2558,0,,Other,Other
2559,0,,Other,Other
2560,0,,Other,Other
2561,0,,Other,Other
2562,0,,Other,Other
2563,0,,Other,Other
2564,0,,Other,Other
2565,0,,Other,Other
2566,0,,Other,Other
2567,0,,Other,Other
2568,0,,Other,Other
2569,0,,Other,Other
2570,0,,Other,Other
2571,0,,Other,Other
2572,0,,Other,Other
2573,0,,Other,Other
2574,0,,Other,Other
2575,0,,Other,Other
2576,0,,Other,Other
2577,0,,Other,Other
2578,0,,Other,Other
2579,0,,Other,Other
2580,0,,Other,Other
2581,0,,Other,Other
2582,0,,Other,Other
2583,0,,Other,Other
2584,0,,Other,Other
2585,0,,Other,Other
2586,0,,Other,Other
2587,0,,Other,Other
2588,0,,Other,Other
2589,0,,Other,Other
2590,0,,Other,Other
2591,0,,Other,Other
2592,0,,Other,Other
2593,0,,Other,Other
2594,0,,Other,Other
2595,0,,Other,Other
2596,0,,Other,Other
2597,0,,Other,Other
2598,0,,Other,Other
2599,0,,Other,Other
2600,0,,Other,Other
2601,0,,Other,Other
2602,0,,Other,Other
2603,0,,Other,Other
2604,0,,Other,Other
2605,0,,Other,Other
2606,0,,Other,Other
2607,0,,Other,Other
2608,0,,Other,Other
2609,0,,Other,Other
2610,0,,Other,Other
2611,0,,Other,Other
2612,0,,Other,Other
2613,0,,Other,Other
2614,0,,Other,Other
2615,0,,Other,Other
2616,0,,Other,Other
2617,0,,Other,Other
2618,0,,Other,Other
2619,0,,Other,Other
2620,0,,Other,Other
2621,0,,Other,Other
2622,0,,Other,Other
2623,0,,Other,Other
2624,0,,Other,Other
2625,0,,Other,Other
2626,0,,Other,Other
2627,0,,Other,Other
2628,0,,Other,Other
2629,0,,Other,Other
2630,0,,Other,Other
2631,0,,Other,Other
2632,0,,Other,Other
2633,0,,Other,Other
2634,0,,Other,Other
2635,0,,Other,Other
2636,0,,Other,Other
2637,0,,Other,Other
2638,0,,Other,Other
2639,0,,Other,Other
2640,0,,Other,Other
2641,0,,Other,Other
2642,0,,Other,Other
2643,0,,Other,Other
2644,0,,Other,Other
2645,0,,Other,Other
2646,0,,Other,Other
2647,0,,Other,Other
2648,0,,Other,Other
2649,0,,Other,Other
2650,0,,Other,Other
2651,0,,Other,Other
2652,0,,Other,Other
2653,0,,Other,Other
2654,0,,Other,Other
2655,0,,Other,Other
2656,0,,Other,Other
2657,0,,Other,Other
2658,0,,Other,Other
2659,0,,Other,Other
2660,0,,Other,Other
2661,0,,Other,Other
2662,0,,Other,Other
2663,0,,Other,Other
2664,0,,Other,Other
2665,0,,Other,Other
2666,0,,Other,Other
2667,0,,Other,Other
2668,0,,Other,Other
2669,0,,Other,Other
2670,0,,Other,Other
2671,0,,Other,Other
2672,0,,Other,Other
2673,0,,Other,Other
2674,0,,Other,Other
2675,0,,Other,Other
2676,0,,Other,Other
2677,0,,Other,Other
2678,0,,Other,Other
2679,0,,Other,Other
2680,0,,Other,Other
2681,0,,Other,Other
2682,0,,Other,Other
2683,0,,Other,Other
2684,0,,Other,Other
2685,0,,Other,Other
2686,0,,Other,Other
2687,0,,Other,Other
2688,0,,Other,Other
2689,0,,Other,Other
2690,0,,Other,Other
2691,0,,Other,Other
2692,0,,Other,Other
2693,0,,Other,Other
2694,0,,Other,Other
2695,0,,Other,Other
2696,0,,Other,Other
2697,0,,Other,Other
2698,0,,Other,Other
2699,0,,Other,Other
2700,0,,Other,Other
2701,0,,Other,Other
2702,0,,Other,Other
2703,0,,Other,Other
2704,0,,Other,Other
2705,0,,Other,Other
2706,0,,Other,Other
2707,0,,Other,Other
2708,0,,Other,Other
2709,0,,Other,Other
2710,0,,Other,Other
2711,0,,Other,Other
2712,0,,Other,Other
2713,0,,Other,Other
2714,0,,Other,Other
2715,0,,Other,Other
2716,0,,Other,Other
2717,0,,Other,Other
2718,0,,Other,Other
2719,0,,Other,Other
2720,0,,Other,Other
2721,0,,Other,Other
2722,0,,Other,Other
2723,0,,Other,Other
2724,0,,Other,Other
2725,0,,Other,Other
2726,0,,Other,Other
2727,0,,Other,Other
2728,0,,Other,Other
2729,0,,Other,Other
2730,0,,Other,Other
2731,0,,Other,Other
2732,0,,Other,Other
2733,0,,Other,Other
2734,0,,Other,Other
2735,0,,Other,Other
2736,0,,Other,Other
2737,0,,Other,Other
2738,0,,Other,Other
2739,0,,Other,Other
2740,0,,Other,Other
2742,0,,Other,Other
2743,0,,Other,Other
2744,0,,Other,Other
2745,0,,Other,Other
2746,0,,Other,Other
2747,0,,Other,Other
2748,0,,Other,Other
2749,0,,Other,Other
2750,0,,Other,Other
2751,0,,Other,Other
2752,0,,Other,Other
2753,0,,Other,Other
